"tag","mark","title","url","subscribe"
"","cache","love-11.3-android","https://github.com/love2d/love/releases",""
"","extra","Kanade","https://github.com/alexrintt/kanade",""
"","mark","Neo Store","https://github.com/NeoApplications/Neo-Store",""
"","cache","ScanBridge","https://github.com/Chrisimx/ScanBridge","release"
"","cache","Droid Pad","https://github.com/umer0586/DroidPad","release"
"","extra","Readium Kotlin Toolkit","https://github.com/readium/kotlin-toolkit",""
"","cache","App Manager","https://github.com/MuntashirAkon/AppManager",""
"","cache","Obtainium","https://github.com/ImranR98/Obtainium",""
"","cache","Qalculate!","https://f-droid.org/packages/com.jherkenhoff.qalculate",""
"","cache","Stride","https://github.com/stride-tasks/stride",""
"","cache","Telegram-FOSS","https://github.com/Telegram-FOSS-Team/Telegram-FOSS",""
"","cache","HTTP Shortcuts for Android","https://github.com/Waboodoo/HTTP-Shortcuts","release"
"bible","cache","and-bible","https://github.com/AndBible/and-bible",""
"bookmark","cache","floccus bookmark sync","https://github.com/floccusaddon/floccus",""
"browser","cache","Brave","https://github.com/brave/brave-browser",""
"browser","cache","firefox-android","https://github.com/mozilla-mobile/firefox-android",""
"camera","cache","AsciiCam","https://github.com/dozingcat/AsciiCam",""
"camera","cache","Vector Camera","https://github.com/dozingcat/VectorCamera",""
"camera","cache","Hypocam","https://www.hypocam.com/index.php/app/",""
"cleaner","cache","Universal Android Debloater GUI","https://github.com/0x192/universal-android-debloater",""
"dictionary","cache","SilverDict","https://github.com/Crissium/SilverDict-mobile",""
"dictionary","cache","aard2-android","https://github.com/itkach/aard2-android",""
"display","cache","spacedesk","https://www.spacedesk.net",""
"ebook","cache","KOReader","https://koreader.rocks",""
"editor","cache","Squircle CE","https://github.com/massivemadness/Squircle-CE",""
"explorer","cache","Material Files","https://github.com/zhanghai/MaterialFiles",""
"explorer","mark","Amaze","https://github.com/TeamAmaze/AmazeFileManager",""
"explorer","cache","File Manager Plus","https://alphainventor.com/file-manager-plus",""
"game","cache","Forkyz Scanner","https://gitlab.com/Hague/forkyzscanner",""
"game","cache","RetroArch","https://github.com/libretro/RetroArch",""
"habit","cache","Habit Builder","https://github.com/ofalvai/HabitBuilder",""
"hacker-news","cache","Hacki","https://github.com/Livinglist/Hacki",""
"lan","extra","Zerotier Fix","https://github.com/kaaass/ZerotierFix",""
"lan","cache","Vector Camera","https://github.com/dozingcat/VectorCamera",""
"lan","cache","tailscale","https://github.com/tailscale/tailscale","download"
"log","cache","LogFox","https://github.com/F0x1d/LogFox",""
"map","cache","OpenTracks","https://opentracksapp.com/",""
"map","cache","Organic Maps","https://organicmaps.app/",""
"map","cache","Trail-Sense","https://github.com/kylecorry31/Trail-Sense",""
"note","cache","蜜蜂便签","https://mp.weixin.qq.com/s/6v_1CnkOGsUgGaRIiXKFIg",""
"photo","cache","Photok","https://github.com/leonlatsch/Photok",""
"player","mark","mpvKt","https://github.com/abdallahmehiz/mpvKt",""
"player","cache","APlayer","https://github.com/rRemix/APlayer",""
"podcast","cache","AntennaPod","https://github.com/AntennaPod/AntennaPod",""
"reader","cache","LibreraReader","https://github.com/foobnix/LibreraReader",""
"reader","cache","Lithium","https://github.com/pgaskin/lithiumpatch",""
"rss","cache","Flux News","https://github.com/KevinCFechtel/FluxNews",""
"rss-torrent","cache","AniVu","https://github.com/SkyD666/AniVu",""
"scan","cache","OSS Document Scanner","https://github.com/Akylas/OSS-DocumentScanner",""
"serve","cache","AudioRelay","https://audiorelay.net/downloads","download"
"sync","cache","Syncthing-Fork","https://github.com/Catfriend1/syncthing-android",""
"termux","cache","Termux","https://github.com/termux/termux-app",""
"termux","cache","Termux:API","https://github.com/termux/termux-api",""
"termux","cache","Termux:Styling","https://github.com/termux/termux-styling",""
"termux,style","cache","Termux Style","https://github.com/adi1090x/termux-style",""
"tool","cache","Aegis","https://github.com/beemdevelopment/Aegis",""
"tool","cache","GuessIron","https://github.com/mobeil1/GuessIron",""
"tool","cache","Save Locally","https://github.com/MateusRodCosta/Share2Storage",""
"tool","cache","ScreenshotTile","https://github.com/cvzi/ScreenshotTile",""
"tool","cache","localsend","https://github.com/localsend/localsend",""
"tool,light","cache","FlashDim","https://github.com/cyb3rko/flashdim",""
"tool,light","cache","Simple-Flashlight","https://github.com/SimpleMobileTools/Simple-Flashlight",""
"tool,scan","cache","BinaryEye","https://github.com/markusfisch/BinaryEye",""
"tool,timer","cache","Sleep Timer","https://github.com/SimonMarquis/SleepTimer",""
"torrent","cache","Torrents-csv","https://git.torrents-csv.com/heretic/torrents-csv-android",""
"track","cache","aw-android","https://github.com/ActivityWatch/aw-android",""
"translate","cache","Rtranslator","https://github.com/niedev/RTranslator",""
"ubuntu","cache","Ubuntu on android","https://github.com/RandomCoderOrg/ubuntu-on-android",""
"viewer","cache","Simple-Gallery","https://github.com/SimpleMobileTools/Simple-Gallery",""
"vnc","cache","bVNC Free","https://github.com/iiordanov/remote-desktop-clients",""
"wallpaper","extra","Doodle","https://github.com/patzly/doodle-android",""
"wallpaper","cache","Code Rain Wallpaper","https://gitlab.com/_zagura/code-rain-wallpaper",""
"webdav","cache","Round Sync","https://github.com/newhinton/Round-Sync",""
"windows","cache","MiceWine Emulator","https://github.com/KreitinnSoftware/MiceWine-Application",""
"youtube-music","cache","InnerTune","https://github.com/z-huang/InnerTune",""
"zerotier","cache","Zerotier Fix","https://github.com/kaaass/ZerotierFix",""
