"tag","mark","title","url","subscribe"
"dap","later","nvim-dap-view","https://github.com/igorlfs/nvim-dap-view",""
"ai","cache","Aider Plugin for Neovim","https://github.com/joshuavial/aider.nvim",""
"ai","cache","ChatGPT.nvim","https://github.com/jackMort/ChatGPT.nvim",""
"ai","cache","CodeCompanion","https://github.com/olimorris/codecompanion.nvim",""
"ai","cache","llm.nvim","https://github.com/Kurama622/llm.nvim",""
"ai","cache","ollama.nvim","https://github.com/nomnivore/ollama.nvim",""
"ai","cache","parrot.nvim","https://github.com/frankroeder/parrot.nvim",""
"ai","cache","Smear cursor for Neovim","https://github.com/sphamba/smear-cursor.nvim",""
"ai","cache","Telescope GPT","https://github.com/HPRIOR/telescope-gpt",""
"ai","cache","yarepl.nvim","https://github.com/milanglacier/yarepl.nvim",""
"ai","mark","avante.nvim","https://github.com/yetone/avante.nvim",""
"anima","cache","tiny-glimmer.nvim","https://github.com/rachartier/tiny-glimmer.nvim",""
"audio","later","reverb.nvim","https://github.com/whleucka/reverb.nvim",""
"bible","cache","bible-verse.nvim","https://github.com/anthony-halim/bible-verse.nvim",""
"bookmark","cache","navigate-note.nvim","https://github.com/you-n-g/navigate-note.nvim",""
"bookmark","cache","navimark.nvim","https://github.com/zongben/navimark.nvim",""
"bookmark","later","bookmarks.nvim","https://github.com/crusj/bookmarks.nvim",""
"bookmark","later","Lspmark.nvim","https://github.com/tristone13th/lspmark.nvim",""
"bookmark","later","spelunk.nvim","https://github.com/EvWilson/spelunk.nvim",""
"bracket","mark","Auto Pairs","https://github.com/LunarWatcher/auto-pairs",""
"buffer","cache","Buffon","https://github.com/francescarpi/buffon.nvim",""
"buffer,github","cache","Githubify","https://github.com/manugoyal/githubify",""
"buffer,padding","cache","no-neck-pain.nvim","https://github.com/shortcuts/no-neck-pain.nvim",""
"case","cache","Coerce","https://github.com/gregorias/coerce.nvim",""
"case","cache","text-case.nvim","https://github.com/johmsalas/text-case.nvim",""
"clip","cache","nvim-neoclip.lua","https://github.com/AckslD/nvim-neoclip.lua",""
"colorcheme","cache","Gruvbox Flat","https://github.com/eddyekofo94/gruvbox-flat.nvim",""
"colorcheme","cache","Iceberg","https://github.com/cocopon/iceberg.vim",""
"colorcheme","cache","Kyoto Night NeoVim","https://github.com/shrikecode/kyotonight.vim",""
"colorcheme","cache","lackluster","https://github.com/slugbyte/lackluster.nvim",""
"colorcheme","cache","Last Color","https://github.com/raddari/last-color.nvim",""
"colorcheme","cache","Neon","https://github.com/rafamadriz/neon",""
"colorcheme","cache","newpaper.nvim","https://github.com/yorik1984/newpaper.nvim",""
"colorcheme","cache","Nightfox","https://github.com/EdenEast/nightfox.nvim",""
"colorcheme","cache","northernlights.vim","https://github.com/m-gail/northernlights.vim",""
"colorcheme","cache","Styler","https://github.com/folke/styler.nvim",""
"colorcheme","mark","Tokyo Night","https://github.com/folke/tokyonight.nvim",""
"comment","cache","Comment.nvim","https://github.com/numToStr/Comment.nvim",""
"comment","cache","nvim-hemingway","https://github.com/chaosystema/nvim-hemingway",""
"comment","cache","ts-comments.nvim","https://github.com/folke/ts-comments.nvim",""
"comment","cache","vim-hidecomments","https://github.com/wangfanstar/vim-hidecomments",""
"comment","later","nvim-hemingway","https://github.com/javiorfo/nvim-hemingway",""
"complete","cache","compl.nvim","https://github.com/brianaung/compl.nvim",""
"complete","later","Blink Completion (blink.cmp)","https://github.com/Saghen/blink.cmp",""
"config","cache","neoconf.nvim","https://github.com/folke/neoconf.nvim",""
"console","cache","Better Term","https://github.com/CRAG666/betterTerm.nvim",""
"console","cache","Lua console","https://github.com/YaroSpace/lua-console.nvim",""
"console","cache","tmux-compile.nvim","https://github.com/karshPrime/tmux-compile.nvim",""
"console","cache","trun.nvim","https://github.com/Veirt/trun.nvim",""
"console","mark","flow.nvim","https://github.com/arjunmahishi/flow.nvim",""
"console","mark","telescope-cmdline.nvim","https://github.com/jonarrien/telescope-cmdline.nvim",""
"console","mark","toggleterm.nvim","https://github.com/akinsho/toggleterm.nvim",""
"css","cache","nvim-px-to-rem","https://github.com/jsongerber/nvim-px-to-rem",""
"cursor","mark","keepcursor.nvim","https://github.com/rlychrisg/keepcursor.nvim",""
"database,cli","cache","sqlpilot.nvim","https://github.com/rsdot/sqlpilot.nvim",""
"debug","cache","DAP","https://github.com/mfussenegger/nvim-dap",""
"debug","cache","godot-gdscript","https://github.com/mfussenegger/nvim-dap/wiki/Debug-Adapter-installation#godot-gdscript",""
"debug","cache","telescope-dap.nvim","https://github.com/nvim-telescope/telescope-dap.nvim",""
"debug","cache","tshunkyPy","https://github.com/jeff-dh/tshunkyPy.nvim",""
"deno,dpp","cache","dpp.vim","https://github.com/Shougo/dpp.vim",""
"denops","cache","vim-detect-indent","https://github.com/kg8m/vim-detect-indent",""
"denops,manage","cache","dvpm","https://github.com/yukimemi/dvpm",""
"dictionary","cache","dict-popup.nvim","https://github.com/Nealium/dict-popup.nvim",""
"docset","cache","dash-docs.nvim","https://github.com/sei40kr/dash-docs.nvim",""
"docset","cache","nvim-telescope-zeal-cli","https://gitlab.com/ivan-cukic/nvim-telescope-zeal-cli",""
"docset","cache","zeal-lynx-cli","https://github.com/Sanix-Darker/zeal-lynx-cli",""
"docset","mark","nvim-devdocs","https://github.com/luckasRanarison/nvim-devdocs",""
"edit","cache","dial.nvim","https://github.com/monaqa/dial.nvim",""
"edit","cache","join.nvim","https://github.com/jakeru/join.nvim",""
"edit","cache","nvim-cmp","https://github.com/hrsh7th/nvim-cmp",""
"edit","cache","nvim-surround","https://github.com/kylechui/nvim-surround",""
"edit","cache","SuEdit","https://github.com/Grafcube/suedit.nvim",""
"edit","extra","move-lines.nvim","https://github.com/kobbikobb/move-lines.nvim",""
"edit","later","vim-sandwich","https://github.com/machakann/vim-sandwich",""
"edit,align","mark","align.nvim","https://github.com/jokesper/align.nvim",""
"edit,complete","later","gyoza.vim","https://github.com/mityu/vim-gyoza",""
"edit,emoji","cache","Emojify.nvim","https://github.com/ronisbr/emojify.nvim",""
"edit,image","cache","Pinmd","https://github.com/mistgc/pinmd.nvim",""
"edit,link","mark","marknav.nvim","https://github.com/daenikon/marknav.nvim",""
"edit,move","cache","flash.nvim","https://github.com/folke/flash.nvim",""
"edit,move","cache","leap.nvim","https://github.com/ggandor/leap.nvim",""
"edit,move","cache","numb.nvim","https://github.com/nacro90/numb.nvim",""
"edit,remember","later","remember.nvim","https://github.com/vladdoster/remember.nvim",""
"edit,save","cache","VimSaver","https://github.com/kopsha/vim-saver",""
"edit,save","mark","auto-save.nvim","https://github.com/Pocco81/auto-save.nvim",""
"edit,select","cache","multiple-cursors.nvim","https://github.com/brenton-leighton/multiple-cursors.nvim",""
"edit,select","later","Multicursors.nvim","https://github.com/smoka7/multicursors.nvim",""
"edit,wrap","cache","Vim-ArgWrap","https://git.foosoft.net/alex/vim-argwrap",""
"editor","cache","bufferline.nvim","https://github.com/akinsho/bufferline.nvim",""
"editor","cache","nvim-navic","https://github.com/SmiteshP/nvim-navic",""
"editor","cache","Paint","https://github.com/folke/paint.nvim",""
"editor","cache","Smooth Cursor","https://github.com/gen740/SmoothCursor.nvim",""
"editor","extra","Syntax Highlighted Cursor","https://github.com/ukyouz/syntax-highlighted-cursor.nvim",""
"editor","mark","Modicator.nvim","https://github.com/mawkler/modicator.nvim",""
"editor","mark","truncateline.nvim","https://github.com/rlychrisg/truncateline.nvim",""
"editor,math","cache","codi.vim","https://github.com/metakirby5/codi.vim",""
"editor,npm","cache","depsync","https://github.com/robertazzopardi/depsync",""
"editor,read","cache","fsread.nvim","https://github.com/nullchilly/fsread.nvim",""
"editor,write","cache","true-zen.nvim","https://github.com/Pocco81/true-zen.nvim",""
"editor,write","cache","Twilight","https://github.com/folke/twilight.nvim",""
"editor,write","cache","Typewriter Mode for Obsidian","https://github.com/davisriedel/obsidian-typewriter-mode",""
"editor,write","cache","zen-mode.nvim","https://github.com/folke/zen-mode.nvim",""
"encode","cache","decipher.nvim","https://github.com/MisanthropicBit/decipher.nvim",""
"env,hidden","cache","Streamer Mode","https://github.com/Kolkhis/streamer-mode.nvim",""
"explorer","cache","browser-bookmarks.nvim","https://github.com/dhruvmanila/browser-bookmarks.nvim",""
"explorer","cache","open-browser.vim","https://github.com/tyru/open-browser.vim",""
"explorer","cache","telescope-openbrowser.nvim","https://github.com/tamago324/telescope-openbrowser.nvim",""
"explorer","cache","vfiler.vim","https://github.com/obaland/vfiler.vim",""
"feed","later","feed.nvim","https://github.com/neo451/feed.nvim",""
"file","cache","fm-nvim","https://github.com/is0n/fm-nvim",""
"file","cache","ranger.nvim","https://github.com/kelly-lin/ranger.nvim",""
"file","cache","Rnvimr","https://github.com/kevinhwang91/rnvimr",""
"file","cache","Triptych.nvim","https://github.com/nvim-telescope/telescope-file-browser.nvim",""
"file","mark","telescope-file-browser.nvim","https://github.com/simonmclean/triptych.nvim",""
"file,find","cache","Command-T","https://github.com/wincent/command-t",""
"file,tag","cache","Grapple.nvim","https://github.com/cbochs/grapple.nvim",""
"format","cache","conform.nvim","https://github.com/stevearc/conform.nvim",""
"format","later","stylua-nvim","https://github.com/ckipp01/stylua-nvim",""
"ftp","cache","Transmit.nvim","https://github.com/DevDec/transmit.nvim",""
"fzf","cache","fzfx.nvim","https://github.com/linrongbin16/fzfx.nvim",""
"gh","mark","Telescope-github.nvim","https://github.com/nvim-telescope/telescope-github.nvim",""
"git","cache","conflict-juggler.nvim","https://github.com/pv-hernandez/conflict-juggler.nvim",""
"git","cache","Diffview.nvim","https://github.com/sindrets/diffview.nvim",""
"git","cache","gitblame.nvim","https://github.com/ring0-rootkit/gitblame.nvim",""
"git","cache","lazygit.nvim","https://github.com/kdheepak/lazygit.nvim",""
"git","cache","nvim-git-fixer","https://github.com/LhKipp/nvim-git-fixer",""
"git","cache","telescope-git-conflicts.nvim","https://github.com/Snikimonkd/telescope-git-conflicts.nvim",""
"git","cache","telescope-git-diffs.nvim","https://github.com/paopaol/telescope-git-diffs.nvim",""
"git","cache","telescope-git-submodules.nvim","https://github.com/agoodshort/telescope-git-submodules.nvim",""
"git","cache","telescope-monorepos","https://github.com/rishabhjain9191/telescope-monorepos",""
"git","cache","telescope-undo.nvim","https://github.com/debugloop/telescope-undo.nvim",""
"git","cancel","telescope-code-fence.nvim","https://github.com/chip/telescope-code-fence.nvim",""
"git","mark","telescope-repo.nvim","https://github.com/cljoly/telescope-repo.nvim",""
"git,note","cache","gitpad.nvim","https://github.com/yujinyuz/gitpad.nvim",""
"gui","cache","Goneovim","https://github.com/akiyosi/goneovim",""
"gui","cache","roarie-commands","https://github.com/lalbornoz/roarie-commands.vim",""
"gui","mark","Neovide","https://github.com/neovide/neovide","release"
"harper","later","Harper","https://github.com/elijah-potter/harper",""
"hex","cache","hexer.nvim","https://github.com/theKnightsOfRohan/hexer.nvim",""
"highlight","cache","colorizer.lua","https://github.com/norcalli/nvim-colorizer.lua",""
"highlight","cache","NeoColumn.nvim","https://github.com/ecthelionvi/NeoColumn.nvim",""
"highlight","cache","nvim-cursorline","https://github.com/yamatsum/nvim-cursorline",""
"highlight","cache","nvim-treesitter","https://github.com/nvim-treesitter/nvim-treesitter",""
"highlight","cache","Rainbow delimiters for Neovim","https://gitlab.com/HiPhish/rainbow-delimiters.nvim",""
"highlight","mark","colorizer.lua","https://github.com/catgoose/nvim-colorizer.lua",""
"highlight","mark","STCursorword","https://github.com/sontungexpt/stcursorword",""
"highlight","mark","whitespace.nvim","https://github.com/johnfrankmorgan/whitespace.nvim",""
"highlight,focus","cache","multicolumn.nvim","https://github.com/fmbarina/multicolumn.nvim",""
"history","cache","Memento.nvim","https://github.com/gaborvecsei/memento.nvim",""
"history","later","telescope-frecency.nvim","https://github.com/nvim-telescope/telescope-frecency.nvim",""
"icon","cache","tiny-devicons-auto-colors.nvim","https://github.com/rachartier/tiny-devicons-auto-colors.nvim",""
"icon","mark","nvim-web-devicons","https://github.com/nvim-tree/nvim-web-devicons",""
"im,switch","mark","im-switch.nvim","https://github.com/drop-stones/im-switch.nvim",""
"ime","cache","cmp-flypy.nvim","https://github.com/wasden/cmp-flypy.nvim",""
"ime","cache","fcitx5.nvim","https://github.com/tonyfettes/fcitx5.nvim",""
"ime","cache","jam.nvim","https://github.com/uga-rosa/jam.nvim",""
"ime","mark","cmp-lsp-rimels","https://github.com/liubianshi/cmp-lsp-rimels",""
"input","cache","Neovim GhostText","https://github.com/wallpants/ghost-text.nvim",""
