"tag","mark","title","url","subscribe"
"activitywatch","cache","aw-watcher-input","https://github.com/ActivityWatch/aw-watcher-input",""
"activitywatch","cache","aw-watcher-utilization","https://github.com/Alwinator/aw-watcher-utilization",""
"activitywatch","mark","ActivityWatch","https://github.com/ActivityWatch/activitywatch","release"
"alert","cache","Keep","https://github.com/keephq/keep",""
"analytic","later","Matomo","https://github.com/matomo-org/matomo",""
"archive","cancel","Sabnzbd","https://github.com/linuxserver/docker-sabnzbd",""
"arr","cache","Bazarr","https://github.com/morpheus65535/bazarr",""
"arr","cache","Prowlarr","https://github.com/Prowlarr/Prowlarr",""
"arr","cache","Raddrr","https://github.com/linuxserver/docker-radarr",""
"arr","cache","Sonarr","https://github.com/Sonarr/Sonarr",""
"audio","cache","Lidarr","https://lidarr.audio",""
"automation","later","Ansible","https://github.com/ansible/ansible",""
"backup","cache","rsnapshot","https://github.com/linuxserver/docker-rsnapshot",""
"backup","later","restic","https://github.com/restic/restic",""
"book","cache","LinguaCafe","https://github.com/simjanos-dev/LinguaCafe",""
"chat","later","Chatwoot","https://github.com/chatwoot/chatwoot",""
"clipboard","cache","SyncClipboard","https://github.com/Jeric-X/SyncClipboard","release"
"cloud,message","cache","gotify","https://github.com/gotify/server",""
"cloud,proxy","cache","Traefik","https://github.com/traefik/traefik",""
"cms","cache","Payload","https://github.com/payloadcms/payload",""
"cms","cache","POSIFY","https://github.com/hcmut-odoo/posify",""
"cms","cache","RePay","https://github.com/manawiki/repay",""
"community","cache","Flarum","https://github.com/flarum/flarum",""
"data-optimize","cache","Unmanic","https://github.com/Unmanic/unmanic",""
"database","cache","Mathesar","https://github.com/mathesar-foundation/mathesar",""
"database","cache","ParadeDB","https://github.com/paradedb/paradedb",""
"database","cache","SurrealDB","https://github.com/surrealdb/surrealdb",""
"dns","cache","AdGuardHome","https://github.com/AdguardTeam/AdGuardHome",""
"dns","cache","Pi-hole","https://github.com/pi-hole/pi-hole",""
"dns,monitor","cache","AdGuardian-Term","https://github.com/Lissy93/AdGuardian-Term",""
"edit","cache","Livebook","https://livebook.dev",""
"editor","cache","Rustpad","https://github.com/ekzhang/rustpad",""
"erp","cache","ERPNext","https://github.com/frappe/erpnext",""
"erp","cache","eShop","https://github.com/dotnet/eShop",""
