"tag","mark","title","url","subscribe"
"diagram","cache","DGM.js","https://github.com/dgmjs/dgmjs",""
"table","cache","Excalibur","https://github.com/camelot-dev/excalibur",""
"todo","cache","Super Productivity","https://github.com/johannesjo/super-productivity",""
"recipe","cache","Instant Recipe Search","https://github.com/typesense/showcase-recipe-search",""
"network","cache","MyIP","https://github.com/jason5ng32/MyIP",""
"network","cache","Web-Check","https://github.com/Lissy93/web-check",""
"software","cache","freshermeat","https://github.com/cedricbonhomme/freshermeat",""
"torrent","cache","Torrents.csv","https://github.com/emtee40/torrents-csv-server",""
"subtitle","cache","kitsunekko-tools","https://github.com/Ajatt-Tools/kitsunekko-tools",""
"docset","cache","Zeal User Contributions & Cheat Sheets","https://github.com/xantiagoma/zealusercontributions",""
"type","cache","Monkeytype","https://github.com/monkeytypegame/monkeytype",""
"rclone","cache","Rclone-Webui-Angular","https://github.com/yuudi/rclone-webui-angular",""
"account","cache","Frappe Books","https://github.com/frappe/books",""
